"ID","Блок","Название формулы / переменной","Формульный расчет","Описание логики на русском","Откуда берется","Куда передается","Статус"
"TOBE-VEH-006","Vehicle","Higher Body Vehicle / Box Truck Recommended","higherBodyVehicleRecommended = selectedVehicleHeightExceeded AND sideTransportAllowed = FALSE","Если item выше кузова выбранной машины и перевозка на боку не подтверждена, система должна предложить пересмотреть выбранный truck на машину с более высоким кузовом, включая Box Truck если он подходит.","Selected vehicle height check, side transport approval, Vehicle Dimensions reference.","Vehicle selection, quote warning, route cost, final price.","Нужно утвердить"
"TOBE-VEH-007","Vehicle","Vehicle Equipment Requirement","equipmentRequired = rampRequired OR liftGateRequired OR tieDownRequired; vehicleEligible = vehicle has required equipment","Для некоторых oversized/tall/heavy items нужен ramp, liftgate или tie-down. Vehicle fit должен проверять не только размеры, но и оборудование.","Item handling rules; vehicle equipment fields.","Vehicle eligibility, labor time, manual review.","Нужно определить данные"
"TOBE-VEH-008","Vehicle","Final Vehicle Eligibility","vehicleEligible = volumeFit AND payloadFit AND vehicleDimensionalFit AND doorOpeningFit AND equipmentFit","Финальная пригодность машины должна учитывать volume, weight, реальные габариты кузова, дверной проем и оборудование.","Vehicle fit formulas, item dimensions, vehicle dimensions/equipment reference.","Selected vehicle, manual review, cost base.","Ready for Formula Sprint"
"TOBE-CAP-005","Capacity / Density","Shipment Density","shipmentDensityLbPerCuFt = totalWeightLb / MAX(totalEffectiveVolumeCuFt, 1)","Показывает, насколько заказ тяжелый относительно занимаемого объема. Нужен, чтобы отличать легкий объемный заказ от тяжелого компактного заказа.","Total weight из item rows; total effective volume из item calculation.","Capacity constraint, vehicle fit, interstate pricing.","Нужно утвердить"
"TOBE-CAP-006","Capacity / Density","Vehicle Density Capacity","vehicleDensityCapacityLbPerCuFt = selectedVehiclePayloadLb / selectedVehicleCargoVolumeCuFt","Показывает среднюю плотность груза, которую выбранный транспорт может безопасно везти при полной загрузке по объему и весу.","Vehicle body specs reference: payload, cargo volume.","Density comparison, limiting factor selection.","Нужен справочник"
"TOBE-CAP-007","Capacity / Density","Capacity Constraint Type","IF payloadUtilization > vehicleUtilization THEN Weight-limited ELSE Volume-limited","Определяет, что именно ограничивает заказ: вес или объем. Для подушек обычно volume-limited, для мрамора weight-limited.","Payload utilization and volume utilization.","Pricing explanation, warning rules, route capacity pricing.","Нужно утвердить"
"TOBE-CAP-008","Capacity / Density","Limiting Capacity Factor","limitingCapacityFactor = MAX(vehicleUtilization, payloadUtilization)","Для pricing берется больший процент загрузки: если объем занят на 30%, а вес на 70%, стоимость capacity должна считаться от 70%.","Vehicle utilization and payload utilization.","Interstate capacity cost, bulky premium, margin guardrail.","Нужно утвердить"
"TOBE-CAP-009","Capacity / Density","Interstate Capacity Cost","interstateCapacityCost = fullRouteCapacityCost * limitingCapacityFactor","Считает долю стоимости interstate truck/route, которую занимает заказ, с учетом и объема, и веса.","Route cost reference, selected interstate vehicle, limiting capacity factor.","Interstate subtotal, final cost base.","Нужно определить формулу"
"TOBE-CAP-010","Capacity / Density","Legacy Dual Cost Guardrail","interstateCapacityCost = MAX(totalEffectiveVolume * costPerCuFt, totalWeight * costPerLb)","Альтернативный guardrail из старой логики: считаем цену по объему и по весу, затем берем большее значение, чтобы не недооценить тяжелые компактные заказы.","Cost per cubic foot and cost per pound variables/reference.","Interstate subtotal or margin guardrail.","Нужно выбрать метод"
"TOBE-CAP-011","Capacity / Density","Capacity Overflow Flag","capacityOverflowFlag = vehicleUtilization > 1 OR payloadUtilization > 1","Ставит красный флаг, если заказ не помещается в выбранный транспорт по объему или payload.","Vehicle utilization, payload utilization.","Warnings, vehicle recommendation, quote approval.","Обязательное правило"
"TOBE-TIME-011","Time / Labor","Historical Time Calibration","timeCoefficient = calibrated from measured historical stop/stage time","Коэффициенты времени должны опираться на реальные замеры заказов, а не на догадку. В транскрибе обсуждалась база около 100 заказов.","Historical Time Metrics reference.","Pickup/delivery/loading/unloading time model.","Нужен data source"
"TOBE-TIME-012","Time / Labor","Pickup Loading Minutes","pickupLoadingMinutes = loadingFormula(totalEffectiveVolume) + weightHandlingMinutes + accessTimeImpact","Считает время погрузки на pickup с учетом объема, веса и условий доступа.","Item volume/weight, loading variables, access conditions.","Pickup labor cost, crew paid minutes.","Нужно утвердить"
"TOBE-TIME-013","Time / Labor","Delivery Unloading Minutes","deliveryUnloadingMinutes = pickupLoadingMinutes * unloadingTimeCoefficient","Delivery обычно быстрее pickup, поэтому unloading coefficient должен быть отдельной переменной, а не скрытой константой.","Pickup loading minutes; unloading coefficient variable.","Delivery labor cost, delivery subtotal.","Нужно утвердить"
"TOBE-TIME-014","Time / Labor","Helper Paid Minutes","helperPaidMinutes = MAX(helperActiveMinutes, helperMinimumBillableMinutes)","Если нужен helper, оплачиваемое время не должно быть меньше минимального порога, даже если активная работа заняла меньше.","Helper active minutes, helper minimum billable minutes.","Payroll, margin, final price.","Нужно утвердить"
"TOBE-TIME-015","Time / Labor","Fully Loaded Labor Cost","fullyLoadedLaborCost = SUM(rolePaidHours * fullyLoadedHourlyRateByRole)","Считает реальную себестоимость труда, включая ставку, налоги/overhead/прочие нагрузки, а не только выплату человеку.","Payroll roles/wage rates reference.","Direct cost base, margin calculation.","Нужно определить формулу"
"TOBE-ACC-006","Access Conditions","Billable Floors","billableFloors = MAX(addressFloor - freeFloorCount, 0)","Считает только платные этажи. Если первые этажи бесплатны, fee начинается после утвержденного free floor threshold.","Address access conditions; free floor count variable.","Stairs fee, access time impact.","Нужно утвердить"
"TOBE-ACC-007","Access Conditions","Stairs Fee","stairsFee = billableFloors * stairsFeePerBillableFloor * stairsItemOrOrderMultiplier","Считает fee за лестницу только по billable floors. Множитель нужен, если fee зависит от заказа, item count или heavy items.","Billable floors, stairs fee variable, item/order multiplier.","Pickup/delivery access subtotal.","Нужно утвердить"
"TOBE-ACC-008","Access Conditions","Extra Labor Cost","extraLaborCost = extraLaborPeople * MAX(extraLaborHours, extraLaborMinimumHours) * extraLaborHourlyRate","Если вручную добавлен extra labor, расчет должен учитывать minimum hours и ставку, чтобы не терять маржу на коротких работах.","Quote options; labor variables.","Access/service subtotal, payroll, margin.","Нужно утвердить"
"TOBE-WARN-001","Warnings / Approval","Warning Rule Evaluation","warningActive = ruleCondition = TRUE","Каждое риск-условие должно превращаться в понятный warning: что случилось, почему важно, блокирует ли quote и кто должен approve.","Warning rules reference; formula outputs.","Broker UI, admin breakdown, approval workflow.","Обязательное правило"
"TOBE-WARN-002","Warnings / Approval","Vehicle Fit Warning","vehicleFitWarning = selectedVehicleHeightExceeded OR widthExceeded OR lengthExceeded OR payloadUtilization > 1 OR vehicleUtilization > 1","Показывает, что выбранная машина физически или по payload не подходит заказу.","Vehicle body specs; item dimensions; utilization outputs.","Quote warnings, vehicle recommendation, manager approval.","Обязательное правило"
"TOBE-WARN-003","Warnings / Approval","Crew Review Warning","crewReviewWarning = maxSingleItemWeight > heavyItemThreshold OR requiredCrewSize > standardCrewSize","Ставит red flag, когда заказ нельзя надежно делать стандартной командой.","Item handling rules; max unit weight; required crew.","Broker warning, manager approval, labor cost.","Нужно утвердить"
"TOBE-WARN-004","Warnings / Approval","Quote Can Save","quoteCanSave = noBlockingWarnings OR allRequiredApprovalsCompleted","Определяет, можно ли сохранить/отправить estimate, если есть red flags.","Warning rules, approval status.","Estimate workflow, snapshot.","Нужно определить продуктово"
"TOBE-MRG-011","Margin / Compensation","Contribution Margin","contributionMargin = finalCustomerPrice - directCost - payrollCost - brokerPayout - dispatcherPayout - allocatedOverhead","Показывает реальную прибыльность заказа после прямых расходов, выплат и распределенного overhead.","Final price, direct costs, payroll, compensation references.","Margin guardrail, CEO reporting.","Нужно утвердить CFO/CEO"
"TOBE-MRG-012","Margin / Compensation","Discount Order Guardrail","discountedPrice = applyDiscountAfterOrBeforeMargin(priceBase, discountRule)","Фиксирует, на каком этапе применяется discount, чтобы скидка не уничтожала margin незаметно.","Discount rule, margin rule, price build order.","Final customer price, margin guardrail.","Нужно выбрать порядок"
"TOBE-MRG-013","Margin / Compensation","Broker Payout","brokerPayout = payoutBase * brokerCommissionRate OR fixedBrokerFee","Считает выплату брокеру по утвержденному плану: процент, fixed fee или гибрид.","Broker compensation plan reference; order source/channel.","Contribution margin, payroll/payout reporting.","Нужно утвердить"
"TOBE-MRG-014","Margin / Compensation","Dispatcher Payout","dispatcherPayout = dispatcherPlan(order, route, stage, revenue, KPI)","Считает выплату диспетчеру по утвержденной модели: fixed/order, per route, KPI или процент.","Dispatcher compensation plan reference.","Contribution margin, payout reporting.","Нужно определить формулу"
"TOBE-RTE-011","Route / ZIP Governance","Manual ZIP Override","effectiveZone = manualOverrideZone IF approved ELSE zipDictionaryZone","Позволяет вручную добавить/исключить ZIP или изменить зону без переписывания логики калькулятора.","ZIP dictionary; manual override approval.","Route classification, fees, warnings.","Нужно утвердить"
"TOBE-RTE-012","Route / ZIP Governance","Corridor / Remote Multiplier","routeZonePremium = baseRouteCost * zoneMultiplier OR fixedZoneFee","Отдельно учитывает corridor/remote pricing, чтобы удаленные или неудобные направления не продавались по средней цене.","Service area and ZIP dictionary zone class.","Route subtotal, margin guardrail.","Нужно утвердить"
"TOBE-SNAP-002","Snapshot Compatibility","Variable Snapshot","variablesSnapshot = all variable IDs + values + version + effective date used in quote","Сохраняет именно те значения переменных, по которым был рассчитан estimate, чтобы старый estimate не менялся после изменения настроек.","Pricing variable store at calculation time.","Estimate snapshot, audit, admin breakdown.","Обязательное правило"
"TOBE-SNAP-003","Snapshot Compatibility","Reference Snapshot","referencesSnapshot = reference versions used in quote","Фиксирует версии справочников: vehicles, ZIP, rates, plans, labor, чтобы расчет был воспроизводим.","Reference version registry.","Estimate snapshot, audit.","Обязательное правило"
"INT-CAP-001-DENSITY-THRESHOLD","Interstate Capacity Logic","Density Threshold","densityThresholdLbPerCuFt = vehiclePayloadLb / vehicleCapacityCuFt","Порог плотности выбранного interstate vehicle. Если shipment density выше этого значения, заказ быстрее упирается в вес, чем в объем. Значение 5.33 для 8000 lb / 1500 cu ft является примером расчета, а не hardcoded constant.","Vehicle Reference / Vehicle Body Specs: payloadLb, capacityCuFt.","Shipment density comparison, interstate cost basis, warning engine.","Needs Business Approval / Ready for Formula Sprint"
"INT-CAP-002-VOLUME-UTILIZATION","Interstate Capacity Logic","Volume Utilization","volumeUtilization = effectiveVolumeCuFt / vehicleCapacityCuFt","Показывает, какую долю объема interstate truck занимает заказ.","Effective volume from item calculations; vehicle capacity from vehicle reference.","Capacity constraint selector, interstate cost basis, volume fit warning.","Ready for Formula Sprint"
"INT-CAP-003-PAYLOAD-UTILIZATION","Interstate Capacity Logic","Payload Utilization","payloadUtilization = totalWeightLb / vehiclePayloadLb","Показывает, какую долю payload выбранного interstate truck занимает заказ.","Total weight from item rows; vehicle payload from vehicle reference.","Capacity constraint selector, interstate cost basis, payload fit warning.","Ready for Formula Sprint"
"INT-CAP-004-CAPACITY-CONSTRAINT-SELECTOR","Interstate Capacity Logic","Capacity Constraint Selector","capacityConstraint = IF(payloadUtilization > volumeUtilization, Weight-limited, Volume-limited)","Выбирает, чем ограничен заказ: весом или объемом. Это объясняет разницу между pillows и marble countertop.","Volume utilization and payload utilization.","Pricing trace, warning engine, interstate pricing basis.","Needs Business Approval"
"INT-CAP-005-INTERSTATE-COST-BASIS","Interstate Capacity Logic","Interstate Cost Basis","interstateCostBasis = MAX(volumeUtilization, payloadUtilization)","Для interstate pricing берется больший utilization. Если объем 30%, а payload 70%, cost basis = 70%.","Volume utilization and payload utilization.","Interstate capacity cost, route subtotal, margin guardrail.","Needs Business Approval"
"INT-CAP-006-VOLUME-LIMITED-LOAD","Interstate Capacity Logic","Volume Limited Load","volumeLimitedLoad = volumeUtilization >= payloadUtilization","Флаг, что заказ ограничен объемом. Пример: 1000 pillows занимают кузов, но почти не используют payload.","Volume utilization and payload utilization.","Interstate trace, warning engine, route capacity economics.","Ready for Formula Sprint"
"INT-CAP-007-WEIGHT-LIMITED-LOAD","Interstate Capacity Logic","Weight Limited Load","weightLimitedLoad = payloadUtilization > volumeUtilization","Флаг, что заказ ограничен весом. Пример: marble countertops могут перегрузить payload при пустом кузове.","Volume utilization and payload utilization.","Interstate trace, warning engine, route capacity economics.","Ready for Formula Sprint"
"LAB-TIME-001-VOLUME-BASED-HANDLING-TIME","Labor Time Architecture","Volume Based Handling Time","volumeHandlingMinutes = effectiveVolumeCuFt * minutesPerCuFt","Считает labor time по объему. Используется как один из двух сценариев, но не суммируется с weight time.","Effective volume from item calculations; minutesPerCuFt variable.","Handling time selector.","Needs Business Approval / Needs Data"
"LAB-TIME-002-WEIGHT-BASED-HANDLING-TIME","Labor Time Architecture","Weight Based Handling Time","weightHandlingMinutes = totalWeightLb * minutesPerLb","Считает labor time по весу. Используется как второй сценарий, чтобы тяжелые компактные заказы не были недооценены.","Total weight from item rows; minutesPerLb variable.","Handling time selector.","Needs Business Approval / Needs Data"
"LAB-TIME-003-HANDLING-TIME-SELECTOR","Labor Time Architecture","Handling Time Selector","baseHandlingMinutes = MAX(volumeHandlingMinutes, weightHandlingMinutes)","Ключевое правило из meeting: не суммировать volume time и weight time, а брать большее значение, чтобы избежать double-counting.","Volume handling minutes and weight handling minutes.","Pickup/delivery split, labor cost, trace.","Ready for Formula Sprint after approval"
"LAB-TIME-004-PICKUP-DELIVERY-TIME-SPLIT","Labor Time Architecture","Pickup / Delivery Time Split","pickupHandlingMinutes = baseHandlingMinutes * pickupTimeMultiplier; deliveryHandlingMinutes = baseHandlingMinutes * deliveryTimeMultiplier","Pickup и delivery должны иметь разные коэффициенты. Delivery обычно быстрее pickup, но оба коэффициента должны быть variables.","Base handling minutes; pickup/delivery time multiplier variables.","Pickup subtotal, delivery subtotal, payroll, margin.","Needs Business Approval / Needs Data"
"LAB-TIME-005-MINIMUM-HANDLING-TIME","Labor Time Architecture","Minimum Handling Time","handlingMinutes = MAX(calculatedHandlingMinutes, minimumHandlingMinutes)","Не позволяет коротким заказам падать ниже минимального операционного времени.","Calculated handling minutes; minimumHandlingMinutes variable.","Labor cost, stage subtotal, margin guardrail.","Needs Business Approval"
"LAB-TIME-006-PICKUP-TIME-COEFFICIENT","Labor Time Architecture","Pickup Time Coefficient","pickupHandlingMinutes = baseHandlingMinutes * pickupTimeMultiplier","Отдельный коэффициент pickup отражает check-in, упаковку, подготовку и более долгую операцию на pickup.","Base handling minutes; pickupTimeMultiplier variable; historical time metrics.","Pickup labor cost and pickup subtotal.","Needs Data / Needs Business Approval"
"LAB-TIME-007-DELIVERY-TIME-COEFFICIENT","Labor Time Architecture","Delivery Time Coefficient","deliveryHandlingMinutes = baseHandlingMinutes * deliveryTimeMultiplier","Отдельный коэффициент delivery отражает, что unloading обычно быстрее loading/pickup.","Base handling minutes; deliveryTimeMultiplier variable; historical time metrics.","Delivery labor cost and delivery subtotal.","Needs Data / Needs Business Approval"
"FIT-001-DIMENSIONAL-FIT","Vehicle Fit / Capacity Fit","Dimensional Fit","dimensionalFit = maxItemLength <= vehicleInteriorLength AND maxItemWidth <= vehicleInteriorWidth AND maxItemHeight <= vehicleInteriorHeight","Проверяет, входит ли самый крупный item в реальные внутренние габариты выбранного vehicle.","Item max dimensions; Vehicle Body Specs reference.","Vehicle fit, warning engine, recommended vehicle change.","Ready for Formula Sprint"
"FIT-002-CAPACITY-FIT-BY-VOLUME","Vehicle Fit / Capacity Fit","Capacity Fit By Volume","volumeFit = effectiveVolumeCuFt <= vehicleCapacityCuFt","Проверяет, помещается ли заказ в выбранный vehicle по total effective volume.","Effective volume; vehicle capacity.","Vehicle fit, warning engine, vehicle recommendation.","Ready for Formula Sprint"
"FIT-003-CAPACITY-FIT-BY-WEIGHT","Vehicle Fit / Capacity Fit","Capacity Fit By Weight","weightFit = totalWeightLb <= vehiclePayloadLb","Проверяет, помещается ли заказ в выбранный vehicle по payload.","Total weight; vehicle payload.","Vehicle fit, warning engine, vehicle recommendation.","Ready for Formula Sprint"
"FIT-004-FIT-FAILURE-WARNING","Vehicle Fit / Capacity Fit","Fit Failure Warning","vehicleFit = dimensionalFit AND volumeFit AND weightFit; IF vehicleFit = FALSE THEN warning","Если хотя бы одна fit-проверка не проходит, заказ должен получить warning и review/recommendation.","Dimensional fit, volume fit, weight fit.","Warning engine, quote save logic, manager approval.","Needs Business Approval"
"FIT-005-RECOMMENDED-VEHICLE-CHANGE","Vehicle Fit / Capacity Fit","Recommended Vehicle Change","recommendedVehicle = smallest approved vehicle where dimensionalFit AND volumeFit AND weightFit","Если выбранный vehicle не подходит, система должна предложить минимальный следующий vehicle, который закрывает габариты, объем и payload.","Vehicle Body Specs reference; fit outputs.","Broker/admin recommendation, warnings, pricing recalculation.","Needs Data Source / Needs Formula Definition"
"WARN-001-HEAVY-ITEM","WARNING_ENGINE","Heavy Item Warning","warningActive = maxItemWeightLb > heavyItemThresholdLb","Red flag для тяжелого единичного предмета. Влияет на helper, crew, time и manager review.","Max single item weight; heavy item threshold variable.","Warning list, crew logic, approval workflow.","Needs Business Approval"
"WARN-002-BULKY-ORDER","WARNING_ENGINE","Bulky Order Warning","warningActive = totalEffectiveVolumeCuFt > bulkyVolumeThresholdCuFt","Red flag для bulky/moving-like заказа, который занимает значительную capacity.","Total effective volume; bulky volume threshold variable.","Warning list, capacity premium, route capacity pricing.","Needs Business Approval"
"WARN-003-ITEM-DOES-NOT-FIT-VEHICLE","WARNING_ENGINE","Item Does Not Fit Vehicle","warningActive = dimensionalFit = FALSE OR volumeFit = FALSE OR weightFit = FALSE","Предупреждение, что выбранный vehicle не подходит по габаритам, объему или весу.","FIT-001/FIT-002/FIT-003 outputs.","Quote blocking, vehicle recommendation, manager approval.","Ready for Formula Sprint"
"WARN-004-MORE-THAN-2-PEOPLE","WARNING_ENGINE","More Than 2 People Required","warningActive = requiredCrewSize > 2","Предупреждение, что заказ требует больше стандартной команды.","Crew calculation, item handling rules, access conditions.","Labor cost, approval workflow, broker warning.","Needs Business Approval"
"WARN-005-OUT-OF-ZONE","WARNING_ENGINE","Out Of Zone Warning","warningActive = zoneClass = outOfZone OR ZIP not supported","Предупреждение для ZIP/route вне стандартной зоны.","ZIP dictionary, service areas, manual override register.","Route pricing, approval workflow, quote save logic.","Needs Data Source"
"WARN-006-DIRECT-SERVICE-REVIEW","WARNING_ENGINE","Direct Service Review","warningActive = directFlag = TRUE OR specificDateFlag = TRUE","Direct/specific-date service ломает consolidated route economics и требует отдельной fee/distance логики.","Quote service flags, route type.","Direct fee, route recalculation, approval workflow.","Needs Business Approval"
"WARN-007-MANAGER-APPROVAL-REQUIRED","WARNING_ENGINE","Manager Approval Required","managerApprovalRequired = anyBlockingWarning OR approvalRuleTriggered","Общий флаг, что quote нельзя считать финальным без manager approval.","Warning engine outputs, approval rules reference.","Quote can save, snapshot, audit trail.","Needs Business Approval"
