"ID","Блок","Формула / переменная","Формульный расчет","Описание логики на русском","Откуда берется","Куда передается","Статус согласования","Вопрос CEO"
"TBE-HND-014","Item Handling / Crew Feasibility","Piece Handling Time","pieceHandlingMinutes = SUM(quantity x minutesPerPieceByHandlingClass)","Каждое место требует минимального времени обработки. Это закрывает кейс 35 легких мест, где общий вес небольшой, но физически много операций.","Item Handling Rules, handling class, item quantity.","Stage item time floor, pickup/delivery labor minutes.","Нужно определить данные","Утверждаем как обязательный item-handling guardrail?"
"TBE-HND-015","Item Handling / Crew Feasibility","Helper Active Minutes","helperActiveMinutes = SUM(heavyPieceHandlingMinutes + accessHeavyImpactMinutes)","Считает время, когда второй человек действительно нужен для тяжелых/сложных предметов. Это позволяет не умножать весь stage на 2, если helper нужен только на часть работ.","Heavy piece count, item handling minutes, access constraints.","Partial helper labor, payroll cost, margin guardrail.","Нужно утвердить policy","Считаем helper на весь stage или только active helper minutes?"
"TBE-HND-016","Item Handling / Crew Feasibility","Labor Hours With Partial Helper","laborHours = soloMinutes / 60 + helperActiveMinutes / 60","Разделяет базовое время одного исполнителя и активное время helper. Используется, если бизнес не хочет считать 2 человека на весь stage.","Stage minutes, helper active minutes, helper billing policy.","Stage labor cost, fully loaded labor, price floor.","Нужно утвердить policy","Считаем helper на весь stage или только active helper minutes?"
"TBE-HND-017","Item Handling / Crew Feasibility","Hard Access Crew Rule","IF heavyItem AND hardAccessConstraint THEN minCrew = 2 OR manualReview = TRUE","Если тяжелый предмет сочетается со stairs/no elevator/long carry/narrow access, система должна поднимать min crew или отправлять заказ на manual review.","Heavy item flags, Access Conditions, Location / Address Types, Physical Access Feasibility Rules.","Final stage crew, access risk, labor cost, approval workflow.","Нужно утвердить","Какие access constraints являются hard blockers для одного человека?"
"TBE-VEH-002","Vehicle","Vehicle Dimensional Fit","vehicleDimensionalFit = itemLength <= cargoInteriorLengthIn AND itemWidth <= cargoInteriorWidthIn AND itemHeight <= cargoInteriorHeightIn","Проверяет, входит ли самый крупный item в реальные внутренние габариты кузова. Это отдельная проверка от общего volume/payload.","Item dimensions; Vehicle Dimensions / Cargo Body Specs reference.","Vehicle selection, manual review, box truck recommendation.","Нужен справочник","Утверждаем как обязательный vehicle fit guardrail?"
"TBE-VEH-003","Vehicle","Door Opening Fit","doorOpeningFit = itemWidth <= doorOpeningWidthIn AND itemHeight <= doorOpeningHeightIn","Даже если item помещается внутри кузова, он может не пройти через задний/боковой проем. Это должно давать warning/manual review.","Item dimensions; vehicle door opening dimensions.","Physical feasibility, manual review, vehicle upgrade.","Нужен справочник","Утверждаем как обязательный vehicle fit guardrail?"
"TBE-VEH-004","Vehicle","Selected Vehicle Height Check","selectedVehicleHeightExceeded = itemHeight > selectedVehicle.cargoInteriorHeightIn","Проверяет не абстрактный threshold, а фактическую высоту кузова выбранной в заявке машины. Если item выше кузова выбранной машины, нужен review и подбор vehicle с более высоким кузовом.","Item height from Quote Draft item row / catalog; selected vehicle cargoInteriorHeightIn from Vehicle Dimensions / Cargo Body Specs.","Vehicle revision, side transport review, box truck recommendation, snapshot warning.","Ready for Formula Sprint","Подтверждаем, что height flag сравнивает itemHeight с высотой выбранной машины, а не с глобальным 72 in?"
"TBE-VEH-005","Vehicle","Side Transport Review","sideTransportReview = selectedVehicleHeightExceeded AND sideTransportAllowed IS NOT TRUE","Если item не входит по высоте в выбранную машину, нельзя автоматически считать, что его повезут на боку. Если side transport не подтвержден, заказ требует review.","Selected vehicle height check, item handling rules, packaging/protection, broker/ops approval.","Manual review, protection/packaging risk, vehicle requirement.","Нужно утвердить policy","Кто подтверждает перевозку на боку и где сохраняем approval?"
"TBE-VEH-006","Vehicle","Higher Body Vehicle / Box Truck Recommended","higherBodyVehicleRecommended = selectedVehicleHeightExceeded AND sideTransportAllowed = FALSE","Если item выше кузова выбранной машины и перевозка на боку не подтверждена, система должна предложить пересмотреть выбранный truck на машину с более высоким кузовом, включая Box Truck если он подходит.","Selected vehicle height check, side transport approval, Vehicle Dimensions reference.","Vehicle selection, quote warning, route cost, final price.","Нужно утвердить","Когда higher body vehicle обязателен, а когда достаточно warning/manual review?"
"TBE-VEH-007","Vehicle","Vehicle Equipment Requirement","equipmentRequired = rampRequired OR liftGateRequired OR tieDownRequired; vehicleEligible = vehicle has required equipment","Для некоторых oversized/tall/heavy items нужен ramp, liftgate или tie-down. Vehicle fit должен проверять не только размеры, но и оборудование.","Item handling rules; vehicle equipment fields.","Vehicle eligibility, labor time, manual review.","Нужно определить данные","Утверждаем как обязательный vehicle fit guardrail?"
"TBE-VEH-008","Vehicle","Final Vehicle Eligibility","vehicleEligible = volumeFit AND payloadFit AND vehicleDimensionalFit AND doorOpeningFit AND equipmentFit","Финальная пригодность машины должна учитывать volume, weight, реальные габариты кузова, дверной проем и оборудование.","Vehicle fit formulas, item dimensions, vehicle dimensions/equipment reference.","Selected vehicle, manual review, cost base.","Ready for Formula Sprint","Утверждаем как обязательный vehicle fit guardrail?"
"TBE-CAP-005","Capacity / Density","Shipment Density","shipmentDensityLbPerCuFt = totalWeightLb / MAX(totalEffectiveVolumeCuFt, 1)","Показывает, насколько заказ тяжелый относительно занимаемого объема. Нужен, чтобы отличать легкий объемный заказ от тяжелого компактного заказа.","Total weight из item rows; total effective volume из item calculation.","Capacity constraint, vehicle fit, interstate pricing.","Нужно утвердить","Подтверждаем density как обязательный расчет для interstate?"
"TBE-CAP-006","Capacity / Density","Vehicle Density Capacity","vehicleDensityCapacityLbPerCuFt = selectedVehiclePayloadLb / selectedVehicleCargoVolumeCuFt","Показывает среднюю плотность груза, которую выбранный транспорт может безопасно везти при полной загрузке по объему и весу.","Vehicle body specs reference: payload, cargo volume.","Density comparison, limiting factor selection.","Нужен справочник","Для каких типов транспорта density rule обязателен?"
"TBE-CAP-007","Capacity / Density","Capacity Constraint Type","IF payloadUtilization > vehicleUtilization THEN Weight-limited ELSE Volume-limited","Определяет, что именно ограничивает заказ: вес или объем. Для подушек обычно volume-limited, для мрамора weight-limited.","Payload utilization and volume utilization.","Pricing explanation, warning rules, route capacity pricing.","Нужно утвердить","Показывать ли broker/admin причину ограничения?"
"TBE-CAP-008","Capacity / Density","Limiting Capacity Factor","limitingCapacityFactor = MAX(vehicleUtilization, payloadUtilization)","Для pricing берется больший процент загрузки: если объем занят на 30%, а вес на 70%, стоимость capacity должна считаться от 70%.","Vehicle utilization and payload utilization.","Interstate capacity cost, bulky premium, margin guardrail.","Нужно утвердить","Используем MAX utilization как главный cost driver?"
"TBE-CAP-009","Capacity / Density","Interstate Capacity Cost","interstateCapacityCost = fullRouteCapacityCost * limitingCapacityFactor","Считает долю стоимости interstate truck/route, которую занимает заказ, с учетом и объема, и веса.","Route cost reference, selected interstate vehicle, limiting capacity factor.","Interstate subtotal, final cost base.","Нужно определить формулу","Full route capacity cost брать из route reference или вычислять по miles/fuel/labor?"
"TBE-CAP-010","Capacity / Density","Legacy Dual Cost Guardrail","interstateCapacityCost = MAX(totalEffectiveVolume * costPerCuFt, totalWeight * costPerLb)","Альтернативный guardrail из старой логики: считаем цену по объему и по весу, затем берем большее значение, чтобы не недооценить тяжелые компактные заказы.","Cost per cubic foot and cost per pound variables/reference.","Interstate subtotal or margin guardrail.","Нужно выбрать метод","Оставляем dual cost как основной метод или как guardrail?"
"TBE-CAP-011","Capacity / Density","Capacity Overflow Flag","capacityOverflowFlag = vehicleUtilization > 1 OR payloadUtilization > 1","Ставит красный флаг, если заказ не помещается в выбранный транспорт по объему или payload.","Vehicle utilization, payload utilization.","Warnings, vehicle recommendation, quote approval.","Обязательное правило","Блокировать quote или отправлять на manager approval?"
"TBE-TIME-011","Time / Labor","Historical Time Calibration","timeCoefficient = calibrated from measured historical stop/stage time","Коэффициенты времени должны опираться на реальные замеры заказов, а не на догадку. В транскрибе обсуждалась база около 100 заказов.","Historical Time Metrics reference.","Pickup/delivery/loading/unloading time model.","Нужен data source","Какая выборка считается достаточной для утверждения коэффициентов?"
"TBE-TIME-012","Time / Labor","Pickup Loading Minutes","pickupLoadingMinutes = loadingFormula(totalEffectiveVolume) + weightHandlingMinutes + accessTimeImpact","Считает время погрузки на pickup с учетом объема, веса и условий доступа.","Item volume/weight, loading variables, access conditions.","Pickup labor cost, crew paid minutes.","Нужно утвердить","Считать pickup всегда дольше delivery или по отдельным коэффициентам?"
"TBE-TIME-013","Time / Labor","Delivery Unloading Minutes","deliveryUnloadingMinutes = pickupLoadingMinutes * unloadingTimeCoefficient","Delivery обычно быстрее pickup, поэтому unloading coefficient должен быть отдельной переменной, а не скрытой константой.","Pickup loading minutes; unloading coefficient variable.","Delivery labor cost, delivery subtotal.","Нужно утвердить","Какой коэффициент unloading утвердить на MVP?"
"TBE-TIME-014","Time / Labor","Helper Paid Minutes","helperPaidMinutes = MAX(helperActiveMinutes, helperMinimumBillableMinutes)","Если нужен helper, оплачиваемое время не должно быть меньше минимального порога, даже если активная работа заняла меньше.","Helper active minutes, helper minimum billable minutes.","Payroll, margin, final price.","Нужно утвердить","Minimum helper time = 2 часа?"
"TBE-TIME-015","Time / Labor","Fully Loaded Labor Cost","fullyLoadedLaborCost = SUM(rolePaidHours * fullyLoadedHourlyRateByRole)","Считает реальную себестоимость труда, включая ставку, налоги/overhead/прочие нагрузки, а не только выплату человеку.","Payroll roles/wage rates reference.","Direct cost base, margin calculation.","Нужно определить формулу","Какие payroll burden/overhead включать?"
"TBE-ACC-006","Access Conditions","Billable Floors","billableFloors = MAX(addressFloor - freeFloorCount, 0)","Считает только платные этажи. Если первые этажи бесплатны, fee начинается после утвержденного free floor threshold.","Address access conditions; free floor count variable.","Stairs fee, access time impact.","Нужно утвердить","Сколько этажей бесплатно: 2, 3 или другое правило?"
"TBE-ACC-007","Access Conditions","Stairs Fee","stairsFee = billableFloors * stairsFeePerBillableFloor * stairsItemOrOrderMultiplier","Считает fee за лестницу только по billable floors. Множитель нужен, если fee зависит от заказа, item count или heavy items.","Billable floors, stairs fee variable, item/order multiplier.","Pickup/delivery access subtotal.","Нужно утвердить","Fee за этаж считать на заказ или на предмет/место?"
"TBE-ACC-008","Access Conditions","Extra Labor Cost","extraLaborCost = extraLaborPeople * MAX(extraLaborHours, extraLaborMinimumHours) * extraLaborHourlyRate","Если вручную добавлен extra labor, расчет должен учитывать minimum hours и ставку, чтобы не терять маржу на коротких работах.","Quote options; labor variables.","Access/service subtotal, payroll, margin.","Нужно утвердить","Ставка и minimum hours одинаковые по рынкам?"
"TBE-WARN-001","Warnings / Approval","Warning Rule Evaluation","warningActive = ruleCondition = TRUE","Каждое риск-условие должно превращаться в понятный warning: что случилось, почему важно, блокирует ли quote и кто должен approve.","Warning rules reference; formula outputs.","Broker UI, admin breakdown, approval workflow.","Обязательное правило","Какие warnings должны блокировать сохранение estimate?"
"TBE-WARN-002","Warnings / Approval","Vehicle Fit Warning","vehicleFitWarning = selectedVehicleHeightExceeded OR widthExceeded OR lengthExceeded OR payloadUtilization > 1 OR vehicleUtilization > 1","Показывает, что выбранная машина физически или по payload не подходит заказу.","Vehicle body specs; item dimensions; utilization outputs.","Quote warnings, vehicle recommendation, manager approval.","Обязательное правило","Разрешать broker override или только manager approval?"
"TBE-WARN-003","Warnings / Approval","Crew Review Warning","crewReviewWarning = maxSingleItemWeight > heavyItemThreshold OR requiredCrewSize > standardCrewSize","Ставит red flag, когда заказ нельзя надежно делать стандартной командой.","Item handling rules; max unit weight; required crew.","Broker warning, manager approval, labor cost.","Нужно утвердить","Какой threshold требует manager review?"
"TBE-WARN-004","Warnings / Approval","Quote Can Save","quoteCanSave = noBlockingWarnings OR allRequiredApprovalsCompleted","Определяет, можно ли сохранить/отправить estimate, если есть red flags.","Warning rules, approval status.","Estimate workflow, snapshot.","Нужно определить продуктово","Блокировать сразу или разрешать с acknowledgement?"
"TBE-MRG-011","Margin / Compensation","Contribution Margin","contributionMargin = finalCustomerPrice - directCost - payrollCost - brokerPayout - dispatcherPayout - allocatedOverhead","Показывает реальную прибыльность заказа после прямых расходов, выплат и распределенного overhead.","Final price, direct costs, payroll, compensation references.","Margin guardrail, CEO reporting.","Нужно утвердить CFO/CEO","Какая минимальная contribution margin допустима?"
"TBE-MRG-012","Margin / Compensation","Discount Order Guardrail","discountedPrice = applyDiscountAfterOrBeforeMargin(priceBase, discountRule)","Фиксирует, на каком этапе применяется discount, чтобы скидка не уничтожала margin незаметно.","Discount rule, margin rule, price build order.","Final customer price, margin guardrail.","Нужно выбрать порядок","Discount применяется до или после margin/management fee?"
"TBE-MRG-013","Margin / Compensation","Broker Payout","brokerPayout = payoutBase * brokerCommissionRate OR fixedBrokerFee","Считает выплату брокеру по утвержденному плану: процент, fixed fee или гибрид.","Broker compensation plan reference; order source/channel.","Contribution margin, payroll/payout reporting.","Нужно утвердить","Payout base: gross, net after discount или contribution?"
"TBE-MRG-014","Margin / Compensation","Dispatcher Payout","dispatcherPayout = dispatcherPlan(order, route, stage, revenue, KPI)","Считает выплату диспетчеру по утвержденной модели: fixed/order, per route, KPI или процент.","Dispatcher compensation plan reference.","Contribution margin, payout reporting.","Нужно определить формулу","Какая модель выплат диспетчерам целевая?"
"TBE-RTE-011","Route / ZIP Governance","Manual ZIP Override","effectiveZone = manualOverrideZone IF approved ELSE zipDictionaryZone","Позволяет вручную добавить/исключить ZIP или изменить зону без переписывания логики калькулятора.","ZIP dictionary; manual override approval.","Route classification, fees, warnings.","Нужно утвердить","Кто может approve manual ZIP override?"
"TBE-RTE-012","Route / ZIP Governance","Corridor / Remote Multiplier","routeZonePremium = baseRouteCost * zoneMultiplier OR fixedZoneFee","Отдельно учитывает corridor/remote pricing, чтобы удаленные или неудобные направления не продавались по средней цене.","Service area and ZIP dictionary zone class.","Route subtotal, margin guardrail.","Нужно утвердить","Zone premium должен быть коэффициентом, fixed fee или manual?"
"TBE-SNAP-002","Snapshot Compatibility","Variable Snapshot","variablesSnapshot = all variable IDs + values + version + effective date used in quote","Сохраняет именно те значения переменных, по которым был рассчитан estimate, чтобы старый estimate не менялся после изменения настроек.","Pricing variable store at calculation time.","Estimate snapshot, audit, admin breakdown.","Обязательное правило","Храним все variables или только использованные?"
"TBE-SNAP-003","Snapshot Compatibility","Reference Snapshot","referencesSnapshot = reference versions used in quote","Фиксирует версии справочников: vehicles, ZIP, rates, plans, labor, чтобы расчет был воспроизводим.","Reference version registry.","Estimate snapshot, audit.","Обязательное правило","Какие справочники snapshot-им полностью, а какие только version ID?"
"INT-CAP-001-DENSITY-THRESHOLD","Interstate Capacity Logic","Density Threshold","densityThresholdLbPerCuFt = vehiclePayloadLb / vehicleCapacityCuFt","Порог плотности выбранного interstate vehicle. Если shipment density выше этого значения, заказ быстрее упирается в вес, чем в объем. Значение 5.33 для 8000 lb / 1500 cu ft является примером расчета, а не hardcoded constant.","Vehicle Reference / Vehicle Body Specs: payloadLb, capacityCuFt.","Shipment density comparison, interstate cost basis, warning engine.","Needs Business Approval / Ready for Formula Sprint","Подтверждаем расчет density threshold как обязательный для interstate?"
"INT-CAP-002-VOLUME-UTILIZATION","Interstate Capacity Logic","Volume Utilization","volumeUtilization = effectiveVolumeCuFt / vehicleCapacityCuFt","Показывает, какую долю объема interstate truck занимает заказ.","Effective volume from item calculations; vehicle capacity from vehicle reference.","Capacity constraint selector, interstate cost basis, volume fit warning.","Ready for Formula Sprint","Какие thresholds по utilization требуют warning?"
"INT-CAP-003-PAYLOAD-UTILIZATION","Interstate Capacity Logic","Payload Utilization","payloadUtilization = totalWeightLb / vehiclePayloadLb","Показывает, какую долю payload выбранного interstate truck занимает заказ.","Total weight from item rows; vehicle payload from vehicle reference.","Capacity constraint selector, interstate cost basis, payload fit warning.","Ready for Formula Sprint","Какие payload thresholds требуют manager review?"
"INT-CAP-004-CAPACITY-CONSTRAINT-SELECTOR","Interstate Capacity Logic","Capacity Constraint Selector","capacityConstraint = IF(payloadUtilization > volumeUtilization, Weight-limited, Volume-limited)","Выбирает, чем ограничен заказ: весом или объемом. Это объясняет разницу между pillows и marble countertop.","Volume utilization and payload utilization.","Pricing trace, warning engine, interstate pricing basis.","Needs Business Approval","Показывать ли эту причину в admin breakdown?"
"INT-CAP-005-INTERSTATE-COST-BASIS","Interstate Capacity Logic","Interstate Cost Basis","interstateCostBasis = MAX(volumeUtilization, payloadUtilization)","Для interstate pricing берется больший utilization. Если объем 30%, а payload 70%, cost basis = 70%.","Volume utilization and payload utilization.","Interstate capacity cost, route subtotal, margin guardrail.","Needs Business Approval","Утверждаем MAX utilization как cost basis?"
"INT-CAP-006-VOLUME-LIMITED-LOAD","Interstate Capacity Logic","Volume Limited Load","volumeLimitedLoad = volumeUtilization >= payloadUtilization","Флаг, что заказ ограничен объемом. Пример: 1000 pillows занимают кузов, но почти не используют payload.","Volume utilization and payload utilization.","Interstate trace, warning engine, route capacity economics.","Ready for Formula Sprint","Нужен ли отдельный premium для volume-limited bulky loads?"
"INT-CAP-007-WEIGHT-LIMITED-LOAD","Interstate Capacity Logic","Weight Limited Load","weightLimitedLoad = payloadUtilization > volumeUtilization","Флаг, что заказ ограничен весом. Пример: marble countertops могут перегрузить payload при пустом кузове.","Volume utilization and payload utilization.","Interstate trace, warning engine, route capacity economics.","Ready for Formula Sprint","Нужен ли обязательный manager review для weight-limited loads?"
"LAB-TIME-001-VOLUME-BASED-HANDLING-TIME","Labor Time Architecture","Volume Based Handling Time","volumeHandlingMinutes = effectiveVolumeCuFt * minutesPerCuFt","Считает labor time по объему. Используется как один из двух сценариев, но не суммируется с weight time.","Effective volume from item calculations; minutesPerCuFt variable.","Handling time selector.","Needs Business Approval / Needs Data","Какой minutesPerCuFt утверждаем по historical metrics?"
"LAB-TIME-002-WEIGHT-BASED-HANDLING-TIME","Labor Time Architecture","Weight Based Handling Time","weightHandlingMinutes = totalWeightLb * minutesPerLb","Считает labor time по весу. Используется как второй сценарий, чтобы тяжелые компактные заказы не были недооценены.","Total weight from item rows; minutesPerLb variable.","Handling time selector.","Needs Business Approval / Needs Data","Какой minutesPerLb утверждаем по historical metrics?"
"LAB-TIME-003-HANDLING-TIME-SELECTOR","Labor Time Architecture","Handling Time Selector","baseHandlingMinutes = MAX(volumeHandlingMinutes, weightHandlingMinutes)","Ключевое правило из meeting: не суммировать volume time и weight time, а брать большее значение, чтобы избежать double-counting.","Volume handling minutes and weight handling minutes.","Pickup/delivery split, labor cost, trace.","Ready for Formula Sprint after approval","Подтверждаем MAX как целевое правило?"
"LAB-TIME-004-PICKUP-DELIVERY-TIME-SPLIT","Labor Time Architecture","Pickup / Delivery Time Split","pickupHandlingMinutes = baseHandlingMinutes * pickupTimeMultiplier; deliveryHandlingMinutes = baseHandlingMinutes * deliveryTimeMultiplier","Pickup и delivery должны иметь разные коэффициенты. Delivery обычно быстрее pickup, но оба коэффициента должны быть variables.","Base handling minutes; pickup/delivery time multiplier variables.","Pickup subtotal, delivery subtotal, payroll, margin.","Needs Business Approval / Needs Data","Какие коэффициенты pickup и delivery утверждаем?"
"LAB-TIME-005-MINIMUM-HANDLING-TIME","Labor Time Architecture","Minimum Handling Time","handlingMinutes = MAX(calculatedHandlingMinutes, minimumHandlingMinutes)","Не позволяет коротким заказам падать ниже минимального операционного времени.","Calculated handling minutes; minimumHandlingMinutes variable.","Labor cost, stage subtotal, margin guardrail.","Needs Business Approval","Подтверждаем 40 minutes как draft minimum или другое значение?"
"LAB-TIME-006-PICKUP-TIME-COEFFICIENT","Labor Time Architecture","Pickup Time Coefficient","pickupHandlingMinutes = baseHandlingMinutes * pickupTimeMultiplier","Отдельный коэффициент pickup отражает check-in, упаковку, подготовку и более долгую операцию на pickup.","Base handling minutes; pickupTimeMultiplier variable; historical time metrics.","Pickup labor cost and pickup subtotal.","Needs Data / Needs Business Approval","Pickup multiplier считать общим или по address type?"
"LAB-TIME-007-DELIVERY-TIME-COEFFICIENT","Labor Time Architecture","Delivery Time Coefficient","deliveryHandlingMinutes = baseHandlingMinutes * deliveryTimeMultiplier","Отдельный коэффициент delivery отражает, что unloading обычно быстрее loading/pickup.","Base handling minutes; deliveryTimeMultiplier variable; historical time metrics.","Delivery labor cost and delivery subtotal.","Needs Data / Needs Business Approval","Delivery multiplier считать общим или по address type?"
"FIT-001-DIMENSIONAL-FIT","Vehicle Fit / Capacity Fit","Dimensional Fit","dimensionalFit = maxItemLength <= vehicleInteriorLength AND maxItemWidth <= vehicleInteriorWidth AND maxItemHeight <= vehicleInteriorHeight","Проверяет, входит ли самый крупный item в реальные внутренние габариты выбранного vehicle.","Item max dimensions; Vehicle Body Specs reference.","Vehicle fit, warning engine, recommended vehicle change.","Ready for Formula Sprint","Нужна ли отдельная door opening fit проверка как blocking warning?"
"FIT-002-CAPACITY-FIT-BY-VOLUME","Vehicle Fit / Capacity Fit","Capacity Fit By Volume","volumeFit = effectiveVolumeCuFt <= vehicleCapacityCuFt","Проверяет, помещается ли заказ в выбранный vehicle по total effective volume.","Effective volume; vehicle capacity.","Vehicle fit, warning engine, vehicle recommendation.","Ready for Formula Sprint","Какой utilization threshold считать warning до 100%?"
"FIT-003-CAPACITY-FIT-BY-WEIGHT","Vehicle Fit / Capacity Fit","Capacity Fit By Weight","weightFit = totalWeightLb <= vehiclePayloadLb","Проверяет, помещается ли заказ в выбранный vehicle по payload.","Total weight; vehicle payload.","Vehicle fit, warning engine, vehicle recommendation.","Ready for Formula Sprint","Нужен ли safety buffer ниже 100% payload?"
"FIT-004-FIT-FAILURE-WARNING","Vehicle Fit / Capacity Fit","Fit Failure Warning","vehicleFit = dimensionalFit AND volumeFit AND weightFit; IF vehicleFit = FALSE THEN warning","Если хотя бы одна fit-проверка не проходит, заказ должен получить warning и review/recommendation.","Dimensional fit, volume fit, weight fit.","Warning engine, quote save logic, manager approval.","Needs Business Approval","Блокировать quote или разрешать manager override?"
"FIT-005-RECOMMENDED-VEHICLE-CHANGE","Vehicle Fit / Capacity Fit","Recommended Vehicle Change","recommendedVehicle = smallest approved vehicle where dimensionalFit AND volumeFit AND weightFit","Если выбранный vehicle не подходит, система должна предложить минимальный следующий vehicle, который закрывает габариты, объем и payload.","Vehicle Body Specs reference; fit outputs.","Broker/admin recommendation, warnings, pricing recalculation.","Needs Data Source / Needs Formula Definition","Рекомендация vehicle должна менять цену автоматически или после approval?"
"WARN-001-HEAVY-ITEM","WARNING_ENGINE","Heavy Item Warning","warningActive = maxItemWeightLb > heavyItemThresholdLb","Red flag для тяжелого единичного предмета. Влияет на helper, crew, time и manager review.","Max single item weight; heavy item threshold variable.","Warning list, crew logic, approval workflow.","Needs Business Approval","Какой threshold требует manager review?"
"WARN-002-BULKY-ORDER","WARNING_ENGINE","Bulky Order Warning","warningActive = totalEffectiveVolumeCuFt > bulkyVolumeThresholdCuFt","Red flag для bulky/moving-like заказа, который занимает значительную capacity.","Total effective volume; bulky volume threshold variable.","Warning list, capacity premium, route capacity pricing.","Needs Business Approval","250 cu ft остается threshold или нужен другой?"
"WARN-003-ITEM-DOES-NOT-FIT-VEHICLE","WARNING_ENGINE","Item Does Not Fit Vehicle","warningActive = dimensionalFit = FALSE OR volumeFit = FALSE OR weightFit = FALSE","Предупреждение, что выбранный vehicle не подходит по габаритам, объему или весу.","FIT-001/FIT-002/FIT-003 outputs.","Quote blocking, vehicle recommendation, manager approval.","Ready for Formula Sprint","Разрешать broker override?"
"WARN-004-MORE-THAN-2-PEOPLE","WARNING_ENGINE","More Than 2 People Required","warningActive = requiredCrewSize > 2","Предупреждение, что заказ требует больше стандартной команды.","Crew calculation, item handling rules, access conditions.","Labor cost, approval workflow, broker warning.","Needs Business Approval","Блокирующий warning или informational?"
"WARN-005-OUT-OF-ZONE","WARNING_ENGINE","Out Of Zone Warning","warningActive = zoneClass = outOfZone OR ZIP not supported","Предупреждение для ZIP/route вне стандартной зоны.","ZIP dictionary, service areas, manual override register.","Route pricing, approval workflow, quote save logic.","Needs Data Source","Кто approve out-of-zone?"
"WARN-006-DIRECT-SERVICE-REVIEW","WARNING_ENGINE","Direct Service Review","warningActive = directFlag = TRUE OR specificDateFlag = TRUE","Direct/specific-date service ломает consolidated route economics и требует отдельной fee/distance логики.","Quote service flags, route type.","Direct fee, route recalculation, approval workflow.","Needs Business Approval","Когда direct блокирует quote, а когда только добавляет fee?"
"WARN-007-MANAGER-APPROVAL-REQUIRED","WARNING_ENGINE","Manager Approval Required","managerApprovalRequired = anyBlockingWarning OR approvalRuleTriggered","Общий флаг, что quote нельзя считать финальным без manager approval.","Warning engine outputs, approval rules reference.","Quote can save, snapshot, audit trail.","Needs Business Approval","Какие роли могут approve и где хранить comment?"
