"Issue ID","Area","Severity","Type","Entity IDs","Entity Name","Finding","Decision","Test Assumption"
"FOR-NORM-110","Formulas","P2","Related / overlapping formula","INT-CAP-004-CAPACITY-CONSTRAINT-SELECTOR; TBE-CAP-007","Capacity Constraint Selector","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-111","Formulas","P2","Related / overlapping formula","INT-CAP-005-INTERSTATE-COST-BASIS; TBE-CAP-008; TBE-CAP-009; TBE-CAP-010","Interstate Cost Basis","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-112","Formulas","P2","Related / overlapping formula","INT-CAP-006-VOLUME-LIMITED-LOAD; TBE-CAP-007","Volume Limited Load","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-113","Formulas","P2","Related / overlapping formula","INT-CAP-007-WEIGHT-LIMITED-LOAD; TBE-CAP-007","Weight Limited Load","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-114","Formulas","P2","Related / overlapping formula","LAB-TIME-001-VOLUME-BASED-HANDLING-TIME; TBE-TIME-012","Volume Based Handling Time","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-115","Formulas","P2","Related / overlapping formula","LAB-TIME-002-WEIGHT-BASED-HANDLING-TIME; TBE-TIME-012","Weight Based Handling Time","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-116","Formulas","P2","Related / overlapping formula","LAB-TIME-003-HANDLING-TIME-SELECTOR; TBE-TIME-012","Handling Time Selector","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-117","Formulas","P2","Related / overlapping formula","LAB-TIME-004-PICKUP-DELIVERY-TIME-SPLIT; TBE-TIME-013","Pickup / Delivery Time Split","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-118","Formulas","P2","Related / overlapping formula","LAB-TIME-005-MINIMUM-HANDLING-TIME; TBE-TIME-014","Minimum Handling Time","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-119","Formulas","P2","Related / overlapping formula","LAB-TIME-006-PICKUP-TIME-COEFFICIENT; TBE-TIME-012","Pickup Time Coefficient","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-120","Formulas","P2","Related / overlapping formula","LAB-TIME-007-DELIVERY-TIME-COEFFICIENT; TBE-TIME-013","Delivery Time Coefficient","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-121","Formulas","P2","Related / overlapping formula","FIT-001-DIMENSIONAL-FIT; TBE-VEH-002","Dimensional Fit","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-122","Formulas","P1","Dependency mapping gap","FIT-001-DIMENSIONAL-FIT","Dimensional Fit","Review mapping: Reference mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-123","Formulas","P2","Related / overlapping formula","FIT-002-CAPACITY-FIT-BY-VOLUME; TBE-CAP-001; TBE-WARN-002","Capacity Fit By Volume","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-124","Formulas","P1","Dependency mapping gap","FIT-002-CAPACITY-FIT-BY-VOLUME","Capacity Fit By Volume","Review mapping: Variable mapping, Reference mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-125","Formulas","P2","Related / overlapping formula","FIT-003-CAPACITY-FIT-BY-WEIGHT; TBE-CAP-002; TBE-WARN-002","Capacity Fit By Weight","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-126","Formulas","P1","Dependency mapping gap","FIT-003-CAPACITY-FIT-BY-WEIGHT","Capacity Fit By Weight","Review mapping: Reference mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-127","Formulas","P2","Related / overlapping formula","FIT-004-FIT-FAILURE-WARNING; TBE-WARN-002","Fit Failure Warning","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-128","Formulas","P1","Dependency mapping gap","FIT-004-FIT-FAILURE-WARNING","Fit Failure Warning","Review mapping: Reference mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-129","Formulas","P2","Related / overlapping formula","FIT-005-RECOMMENDED-VEHICLE-CHANGE; TBE-VEH-006","Recommended Vehicle Change","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-130","Formulas","P1","Dependency mapping gap","FIT-005-RECOMMENDED-VEHICLE-CHANGE","Recommended Vehicle Change","Review mapping: Reference mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-131","Formulas","P2","Related / overlapping formula","WARN-001-HEAVY-ITEM; TBE-WARN-003; ITM-010","Heavy Item Warning","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-132","Formulas","P1","Dependency mapping gap","WARN-001-HEAVY-ITEM","Heavy Item Warning","Review mapping: Variable mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-133","Formulas","P2","Related / overlapping formula","WARN-002-BULKY-ORDER; TBE-CAP-004","Bulky Order Warning","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-134","Formulas","P2","Related / overlapping formula","WARN-003-ITEM-DOES-NOT-FIT-VEHICLE; TBE-WARN-002","Item Does Not Fit Vehicle","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-135","Formulas","P1","Dependency mapping gap","WARN-003-ITEM-DOES-NOT-FIT-VEHICLE","Item Does Not Fit Vehicle","Review mapping: Reference mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-136","Formulas","P2","Related / overlapping formula","WARN-004-MORE-THAN-2-PEOPLE; TBE-WARN-003","More Than 2 People Required","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-137","Formulas","P2","Related / overlapping formula","WARN-005-OUT-OF-ZONE; TBE-RTE-002; TBE-RTE-004","Out Of Zone Warning","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-138","Formulas","P2","Related / overlapping formula","WARN-006-DIRECT-SERVICE-REVIEW; TBE-RTE-001; TBE-RTE-003","Direct Service Review","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-139","Formulas","P1","Dependency mapping gap","WARN-006-DIRECT-SERVICE-REVIEW","Direct Service Review","Review mapping: Variable mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-140","Formulas","P2","Related / overlapping formula","WARN-007-MANAGER-APPROVAL-REQUIRED; TBE-WARN-004","Manager Approval Required","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-141","Formulas","P1","Dependency mapping gap","WARN-007-MANAGER-APPROVAL-REQUIRED","Manager Approval Required","Review mapping: Reference mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"VAR-NORM-001","Variables","P2","Alias / duplicate name","VAR-004; VAR-TBE-002","marginRate","Multiple IDs use the same normalized business name.","Use VAR-TBE-002 as canonical; retain other IDs as aliases.","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-NORM-002","Variables","P2","Alias / duplicate name","VAR-005; VAR-TBE-003","brokerFeeRate","Multiple IDs use the same normalized business name.","Use VAR-TBE-003 as canonical; retain other IDs as aliases.","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-NORM-003","Variables","P2","Alias / duplicate name","VAR-018; VAR-TBE-014","managementFee","Multiple IDs use the same normalized business name.","Use VAR-TBE-014 as canonical; retain other IDs as aliases.","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-NORM-004","Variables","P2","Alias / duplicate name","VAR-TBE-018; VAR-MRG-003","brokerCommissionRate","Multiple IDs use the same normalized business name.","Use VAR-TBE-018 as canonical; retain other IDs as aliases.","Use documented example value when present; otherwise use 0 in test fixtures only."
"REF-NORM-001","References","P2","Alias / duplicate name","REF-004; REF-TBE-001","ZIP Dictionary","Multiple IDs use the same normalized business name.","Use REF-TBE-001 as canonical; retain other IDs as aliases.","Use current local seed/reference fixture for tests; production source and owner remain required."
"REF-NORM-002","References","P2","Alias / duplicate name","REF-010; REF-TBE-008","Protection Plans","Multiple IDs use the same normalized business name.","Use REF-TBE-008 as canonical; retain other IDs as aliases.","Use current local seed/reference fixture for tests; production source and owner remain required."
