"Canonical Variable ID","Name","Description","Current / Example Value","Unit / Type","Source","Used In","Owner","Data Readiness","Governance","Alias IDs","Source Scopes","Conflict","Test Assumption"
"VAR-MRG-001","minimumContributionMarginRate","Минимальная contribution margin для guardrail.","","Governance variable","","Margin warning, approval","CEO / CFO","Test Assumption","Нарушение должно создавать red flag.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-MRG-002","discountApplicationOrder","Правило порядка применения discount: до margin, после margin или от final price.","","Governance variable","","Discount order guardrail","CEO / CFO","Test Assumption","Меняется только через formula version.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-MRG-004","dispatcherPayoutRule","Правило выплаты диспетчеру: fixed, percent, route/stage/KPI model.","","Rule set","","Dispatcher payout","Operations / Finance","Test Assumption","Нужен отдельный compensation reference.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-RTE-001","zoneMultiplier","Коэффициент для corridor/remote/core zone pricing.","","Variable / Reference field","","Route zone premium","CEO / Operations","Test Assumption","Хранить по zone class/effective date.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-LAB-001","minutesPerCuFt","Базовые минуты handling на 1 cubic foot. Используется только в volumeHandlingMinutes и сравнивается с weightHandlingMinutes через MAX.","","Variable","","LAB-TIME-001, LAB-TIME-003","Operations","Test Assumption","Источник: historical time metrics; изменение через benchmark preview.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-LAB-002","minutesPerLb","Базовые минуты handling на 1 lb. Используется для тяжелых компактных заказов и не суммируется с volume time.","","Variable","","LAB-TIME-002, LAB-TIME-003","Operations","Test Assumption","Источник: historical time metrics; изменение через benchmark preview.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-LAB-003","pickupTimeMultiplier","Коэффициент pickup stage. Отражает, что pickup может занимать больше времени, чем delivery.","","Variable","","LAB-TIME-004, LAB-TIME-006","Operations","Test Assumption","Не hardcode; может зависеть от address type.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-LAB-004","deliveryTimeMultiplier","Коэффициент delivery stage. Delivery обычно быстрее pickup, но значение должно быть управляемым.","","Variable","","LAB-TIME-004, LAB-TIME-007","Operations","Test Assumption","Не использовать скрытую формулу minLoadingMinutes - 10.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-LAB-005","minimumHandlingMinutes","Минимальное расчетное handling time после применения MAX volume/weight сценариев.","","Variable","","LAB-TIME-005","Operations / Finance","Test Assumption","40 minutes из задания хранить как draft value до approval.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-FIT-001","maxItemLength","Максимальная unit length среди items в заказе. Используется для dimensional fit.","","Derived value","","FIT-001","Pricing Engine","Test Assumption","Считать по unit dimensions, не по quantity.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-FIT-002","maxItemWidth","Максимальная unit width среди items в заказе. Используется для dimensional fit.","","Derived value","","FIT-001","Pricing Engine","Test Assumption","Считать по unit dimensions, не по quantity.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-FIT-003","maxItemHeight","Максимальная unit height среди items в заказе. Используется для dimensional fit.","","Derived value","","FIT-001","Pricing Engine","Test Assumption","Сравнивать с выбранным vehicleInteriorHeight.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-FIT-004","vehicleInteriorLength","Внутренняя длина выбранного vehicle/body spec.","","Reference field","","FIT-001","Operations","Test Assumption","Берется из Vehicle Body Specs reference.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-FIT-005","vehicleInteriorWidth","Внутренняя ширина выбранного vehicle/body spec.","","Reference field","","FIT-001","Operations","Test Assumption","Берется из Vehicle Body Specs reference.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-FIT-006","vehicleInteriorHeight","Внутренняя высота выбранного vehicle/body spec.","","Reference field","","FIT-001","Operations","Test Assumption","72 in является примером параметра конкретного vehicle, не global threshold.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-WARN-002","warningSeverity","Severity warning rule: informational, approval, blocking.","","Rule set field","","WARNING_ENGINE","Product / Operations","Test Assumption","Хранить в Warning Rules Reference.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-WARN-003","managerApprovalRequired","Флаг, что quote требует manager approval из-за blocking/approval warning.","","Derived value","","WARN-007, quote save logic","Product / Operations","Test Assumption","Должен попадать в snapshot и approval trail.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
