"Formula ID","Block","Name","Formula","Description","Level / Stage","Input / Source","Variable IDs","Reference IDs","Output / Next","Used In","Source Scope","Implementation Status","Data Readiness","Related Formula IDs","Test Assumption","Normalization Notes"
"FINAL-005","Final Total","Brokered Price","Price Excluding Broker Fee / (1 - Broker Fee Rate)","Broker fee gross-up делит price excluding broker fee на 1 - brokerFeeRate. Сейчас brokerFeeRate = 4%. Результат идет в rawPrice.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","VAR-001; VAR-TBE-003","","Raw price, margin display, final customer price, item allocation","Raw price, final total","AS-IS","Implemented / Baseline","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"FINAL-006","Final Total","Volume Model Price","calculateExcelStageCosts(measure = volume, amount = Total Effective Volume)","Калькулятор считает pickup/interstate/delivery модель по effective volume. Результат сравнивается с weight model.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","VAR-001","","Raw price, margin display, final customer price, item allocation","Model selection","AS-IS","Implemented / Baseline","Ready","","",""
"FINAL-007","Final Total","Weight Model Price","calculateExcelStageCosts(measure = weight, amount = Total Weight)","Калькулятор считает pickup/interstate/delivery модель по total weight. Результат сравнивается с volume model.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","VAR-001","","Raw price, margin display, final customer price, item allocation","Model selection","AS-IS","Implemented / Baseline","Ready","","",""
"FINAL-008","Final Total","Selected Pricing Model","MAX(Volume Model Price, Weight Model Price)","AS-IS калькулятор выбирает более дорогую модель по priceExcludingBrokerFee. Результат selectedCosts используется для routeCost, serviceCost, rawPrice и finalPrice.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","VAR-001","","Raw price, margin display, final customer price, item allocation","Final pricing model","AS-IS","Implemented / Baseline","Ready","","",""
"FINAL-009","Final Total","Route Cost","Selected Pickup Cost + Selected Delivery Cost + Selected Interstate Cost","Route cost складывает pickup, delivery и interstate costs из выбранной volume/weight модели. Результат идет в totals.routeCost и Cost Breakdown.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","VAR-001","","Raw price, margin display, final customer price, item allocation","Operational cost, breakdown","AS-IS","Implemented / Baseline","Ready","","",""
"ACC-001","Access Conditions","Access COI Fee","COI Fee x Count(COI pickup/delivery points)","Если COI включен на pickup или delivery, добавляется coiFee за каждую точку. Результат идет в accessFees.","Access","Pickup/delivery access fields and access fee variables","VAR-020","","Access fees included in additional charges","Additional charges","AS-IS","Implemented / Baseline","Ready","","",""
"ACC-002","Access Conditions","Access Stairs Fee","Stairs Fee Per Floor x MAX(Floor, 1) when Stairs = TRUE","Если legacy stairs flag включен, калькулятор умножает ставку за этаж на floor. Результат идет в accessFees.","Access","Pickup/delivery access fields and access fee variables","VAR-021","","Access fees included in additional charges","Additional charges","AS-IS","Implemented / Baseline","Ready","","",""
"ACC-003","Access Conditions","Access Narrow / Elevator Unavailable Fee","Narrow Access Fee when NarrowAccess = TRUE OR ElevatorUnavailable = TRUE","Если narrowAccess или elevatorUnavailable true, добавляется narrowAccessFee. Результат идет в accessFees.","Access","Pickup/delivery access fields and access fee variables","VAR-022","","Access fees included in additional charges","Additional charges","AS-IS","Implemented / Baseline","Ready","","",""
"ACC-004","Access Conditions","Access Long Carry Fee","CEILING(Long Carry Ft / 50) x Long Carry Fee Per 50 Ft","Long carry считается блоками по 50 ft с округлением вверх. Результат идет в accessFees.","Access","Pickup/delivery access fields and access fee variables","","","Access fees included in additional charges","Additional charges","AS-IS","Implemented / Baseline","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Variable mapping"
"ACC-005","Access Conditions","Access Fees Total","Pickup Access Fees + Delivery Access Fees","Access fees суммируют COI, stairs, narrow/elevatorUnavailable и long carry по pickup и delivery. Результат идет в additionalCharges.","Access","Pickup/delivery access fields and access fee variables","","","Access fees included in additional charges","Additional charges, final total","AS-IS","Implemented / Baseline","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Variable mapping"
"OPT-001","Order Options","Priority Date Fee","IF Priority Date = TRUE, Priority Date Fee, 0","В коде есть optionFees для priorityDate, но текущий UI принудительно сохраняет priorityDate = false. Если true, результат идет в additionalCharges.","Order Option","Quote options and runtime option variables","VAR-024","REF-012","Option fee or operational-cost display impact","Additional charges","AS-IS","Implemented / Baseline","Ready","","",""
"OPT-002","Order Options","Exclusive Delivery Operational Cost","IF Exclusive Delivery = TRUE, Service Cost x Exclusive Delivery Multiplier, else Service Cost","В коде operationalCost может умножаться на exclusiveDeliveryMultiplier. Текущий UI принудительно сохраняет exclusiveDelivery = false. Результат используется как internal operationalCost display.","Order Option","Quote options and runtime option variables","VAR-025","REF-012","Option fee or operational-cost display impact","Operational cost display","AS-IS","Implemented / Baseline","Ready","","",""
"ADJ-001","Adjustments","Special Labor Cost","IF Extra Labor People > 0 AND Extra Labor Hours > 0, People x Hours x Rate, else 0","Special labor берет people, hours и hidden/internal rate из quote.options. Default rate = $50/hour. Результат идет в quoteAdjustment и final price, только если есть billable items.","Order Option","Special labor fields and legacy manual adjustment","","REF-012; REF-TBE-005","Quote adjustment added to raw price","Quote adjustment, final total","AS-IS","Implemented / Baseline","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Variable mapping"
"ADJ-002","Adjustments","Legacy Manual Adjustment","MAX(Manual Adjustment, 0)","Legacy manualAdjustment сохраняется для старых drafts/snapshots. Новые broker adjustments должны использовать Special Labor. Результат идет в quoteAdjustment.","Order Option","Special labor fields and legacy manual adjustment","","REF-TBE-005","Quote adjustment added to raw price","Quote adjustment, final total","AS-IS","Implemented / Baseline","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"FINAL-010","Final Total","Additional Charges","Storage + Access Fees + Option Fees","Additional charges складывают storage, accessFees и optionFees. Результат добавляется к brokeredPrice в rawPrice.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","VAR-001","","Raw price, margin display, final customer price, item allocation","Raw price, final total","AS-IS","Implemented / Baseline","Ready","","",""
"FINAL-011","Final Total","Quote Adjustment","Special Labor Cost + Legacy Manual Adjustment","Quote adjustment складывает special labor и legacy manual adjustment. Результат добавляется к rawPrice.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","VAR-001","REF-TBE-005","Raw price, margin display, final customer price, item allocation","Raw price, final total","AS-IS","Implemented / Baseline","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"FINAL-012","Final Total","Raw Price","Brokered Price + Additional Charges + Quote Adjustment","Raw price — цена до финального округления. Берется brokeredPrice, additionalCharges и quoteAdjustment. Результат идет в final price rounding.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","VAR-001","","Raw price, margin display, final customer price, item allocation","Final price","AS-IS","Implemented / Baseline","Ready","","",""
"FINAL-013","Final Total","Margin Display","MAX(0, Raw Price - Operational Cost - Additional Charges - Quote Adjustment)","Internal margin display считается как остаток после operationalCost, additionalCharges и adjustments. Результат показывается в Cost Breakdown, но не в customer Estimate Document.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","VAR-001","","Raw price, margin display, final customer price, item allocation","Cost Breakdown","AS-IS","Implemented / Baseline","Ready","","",""
"FINAL-014","Final Total","Final Customer Price","IF Billable Items exist, CEILING(Raw Price, 10), else 0","Final customer price равен raw price, округленному вверх до $10, если есть billable items. Если billable items нет, итог = $0. Результат идет в Estimate Document, My Estimates и Cost Breakdown.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","VAR-001","","Raw price, margin display, final customer price, item allocation","Estimate Document, final total","AS-IS","Implemented / Baseline","Ready","","",""
"FINAL-015","Final Total","Rounding Delta","Final Customer Price - Raw Price","Rounding delta показывает, сколько добавило округление. Результат идет в totals.roundingDelta для audit.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","VAR-001","","Raw price, margin display, final customer price, item allocation","Cost Breakdown","AS-IS","Implemented / Baseline","Ready","","",""
"FINAL-016","Final Total","Effective Cost Per Cu Ft","IF Total Shipment Volume > 0, Final Customer Price / Total Shipment Volume, else 0","Effective $/cu ft — internal metric для broker/admin review. Берется finalPrice и totalVolume. Не влияет на цену.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","VAR-001","","Raw price, margin display, final customer price, item allocation","Summary, Cost Breakdown","AS-IS","Implemented / Baseline","Ready","","",""
"FINAL-017","Final Total","Item Reference Allocation Method","IF Total Weight > 0 then Weight else IF Total Effective Volume > 0 then Effective Volume else None","Калькулятор выбирает метод распределения final price по items: сначала weight share, иначе effective volume share. Это internal allocation metric.","Order/Item","Selected stage costs, service cost, additional charges, broker fee, rounding","VAR-001","","Raw price, margin display, final customer price, item allocation","Item reference price","AS-IS","Implemented / Baseline","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Reference mapping"
"FINAL-018","Final Total","Item Reference Price","IF Weight method, Final Price x Item Weight / Total Weight; else Final Price x Item Effective Volume / Total Effective Volume","Item Ref. Price распределяет итоговую цену по items для internal unit economics. Не влияет на final price и не должен использоваться как declared value.","Item","Selected stage costs, service cost, additional charges, broker fee, rounding","VAR-001","","Raw price, margin display, final customer price, item allocation","Cost Breakdown, item economics","AS-IS","Implemented / Baseline","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Reference mapping"
"SNAP-001","Snapshot / Audit","Estimate Snapshot Formula Version","formulaVersion + variablesSnapshot + quote + result","При Generate Estimate система сохраняет frozen snapshot: formulaVersion, variablesSnapshot, quote и result. Результат нужен, чтобы старые estimates не пересчитывались после изменения variables.","Snapshot","Generated estimate snapshot: formulaVersion, variablesSnapshot, quote, result","","REF-013","Frozen estimate audit trail","Estimate Document, audit","AS-IS","Implemented / Baseline","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Variable mapping"
"TBE-FLOW-001","Formula Trace","Calculation Trace","input + source + variable + formula = result -> next block","Для каждой важной строки расчета нужно хранить проверяемую цепочку: что взяли, откуда, на что умножили, какой результат получили и куда он пошел дальше.","","Все calculation blocks, variables, references.","","","Admin Cost Breakdown, audit snapshot.","Нужен ли trace для всех компонентов или только для pricing-impact rows?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Variable mapping, Reference mapping"
"TBE-FLOW-002","Final Price Build Order","Build Sequence","Inputs -> Route -> Items -> Vehicle/Crew -> Stages -> Fees -> Cost Base -> Margin/Fee/Discount -> Rounding -> Snapshot","Фиксирует порядок, в котором строится цена. Это главный контроль margin и воспроизводимости.","","Pricing engine architecture.","VAR-001","","Developer Formula Sprint implementation.","Утверждаем ли этот порядок как обязательный?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Reference mapping"
"TBE-RTE-001","Route Type Pricing","Route Type","routeType = consolidated / direct / specificDate / dedicated / corridor / remote / outOfZone","Заявка должна получить тип маршрута до расчета цены, потому что direct/specific-date/corridor/remote имеют другую экономику.","","Pickup ZIP, delivery ZIP, service flags, ZIP dictionary.","","REF-TBE-001","Route, pickup, interstate, delivery pricing.","Какие route types входят в MVP Formula Sprint?","TO-BE","Approved for Formula Sprint","Test Assumption","WARN-006-DIRECT-SERVICE-REVIEW","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"TBE-RTE-002","ZIP / Service Area","ZIP Dictionary","ZIP -> serviceArea -> branch/warehouse -> zoneClass","ZIP dictionary должен быть отдельным справочником, а не частью формулы. Service area задает branch, warehouse point и zone class.","","ZIP dictionary, service areas reference.","","REF-TBE-001; REF-TBE-002","Distance, route support, zone fees.","Кто владелец ZIP dictionary и как часто обновляем?","TO-BE","Approved for Formula Sprint","Test Assumption","WARN-005-OUT-OF-ZONE","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Variable mapping"
"TBE-RTE-003","Route / Distance","Distance Source","IF direct/specificDate THEN exact/recalculated miles ELSE approved average/local distance","Для обычного consolidated route можно использовать approved average distance по зоне/филиалу; для direct/specific date нужно пересчитывать mileage.","","Warehouse point, distance source, historical metrics.","","","Pickup/delivery mileage, direct fee, interstate cost.","Когда используем average, а когда exact mileage?","TO-BE","Approved for Formula Sprint","Test Assumption","WARN-006-DIRECT-SERVICE-REVIEW","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Variable mapping"
"TBE-RTE-004","Remote / Corridor","Remote Premium","IF zoneClass = remote THEN cost x remoteCoefficient OR fixedRemoteFee","Удаленные зоны должны иметь отдельное правило доплаты, чтобы road cost не съедал margin.","","ZIP/service area density analysis.","","","Route subtotal or service fee.","Коэффициент, fixed fee или manual review?","TO-BE","Approved for Formula Sprint","Test Assumption","WARN-005-OUT-OF-ZONE","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Variable mapping, Reference mapping"
"TBE-ITM-001","Item Calculations","Physical Volume","(Length x Width x Height / 1728) x Quantity","Считает физический объем item в cubic feet с учетом количества.","","Item row / Quick Quote catalog transfer / item catalog defaults.","","REF-002; REF-003","Effective volume, vehicle fit, total volume.","Округляем item volume или только total/effective volume?","TO-BE","Approved for Formula Sprint","Test Assumption","ITM-002","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Variable mapping"
"TBE-ITM-002","Item Calculations","Effective Volume","physicalVolume adjusted by stackability / fragile / crate / bulky / handling coefficients","Считает operational volume, который отражает не только физический размер, но и сложность перевозки.","","Item row flags, catalog defaults, variables.","","REF-TBE-005","Vehicle fit, crew logic, labor model.","Какие coefficients входят в MVP?","TO-BE","Approved for Formula Sprint","Test Assumption","ITM-005","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Variable mapping"
"TBE-ITM-003","Non-stack","Effective Height","IF nonStack = TRUE THEN 96 in ELSE item height","Если предмет non-stackable, он занимает высоту 8 ft / 96 in для effective volume.","","Item row non-stack checkbox, item height.","","","Effective volume.","Всегда 96 in или зависит от vehicle/route?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Reference mapping"
"TBE-ITM-004","Bulky / Moving","Bulky Premium","IF totalVolume >= bulkyThreshold THEN bulkyPremium/reviewFlag","Большие moving-like заказы должны получать premium или обязательный review, чтобы быть выгодными.","","Total volume, item count, route type.","","","Vehicle/crew/direct review/final price.","Threshold 250+ cu ft фиксируем? Какой premium?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Variable mapping, Reference mapping"
"TBE-VEH-001","Vehicle","Vehicle Fit","select smallest vehicle where capacityVolume >= effectiveVolume AND capacityWeight >= totalWeight","Vehicle выбирается по справочнику capacity, а не вручную и не hardcoded.","","Effective volume, total weight, vehicle reference.","","","Interstate cost, local operations.","Какие vehicle types и capacity утверждаем?","TO-BE","Approved for Formula Sprint","Test Assumption","VEH-001","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Reference mapping"
"TBE-CREW-001","Crew","Crew Split","pickupCrew = f(pickup complexity); deliveryCrew = f(delivery complexity)","Pickup crew и delivery crew считаются отдельно, потому что pickup и delivery имеют разную трудоемкость.","","Item totals, access conditions, labor reference.","","REF-011; REF-TBE-005","Pickup labor, delivery labor.","Какие условия повышают crew?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"TBE-LAB-001","Labor","Pickup Time","basePickupTime + itemCountRate + volumeRate + weightRate + accessImpact","Pickup time считается отдельно и может быть существенно выше delivery.","","Item totals, pickup access fields, time metrics.","","REF-TBE-005","Pickup labor subtotal.","Какие time metrics собираем как source of truth?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Variable mapping"
"TBE-LAB-002","Labor","Delivery Time","baseDeliveryTime + itemCountRate + volumeRate + weightRate + accessImpact","Delivery time должен иметь собственные коэффициенты, не копировать pickup.","","Item totals, delivery access fields, time metrics.","","REF-TBE-005","Delivery labor subtotal.","Подтверждаем отдельную модель delivery?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Variable mapping"
"TBE-DIR-001","Direct / Specific Date","Direct Fee","IF direct/specificDate THEN fixedFee + exactMiles x mileageFee ELSE 0","Direct или specific-date service добавляет fixed fee и mileage fee; distance может пересчитываться отдельно.","","Direct flag, specific date, distance source.","","","Pickup/direct/delivery subtotal.","Утверждаем $300 + $2/mile как baseline или только пример?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Variable mapping"
"TBE-INT-001","Interstate","Linehaul Cost","interstateMiles x vehicle/route cost variables + fuel + driver + route premium","Interstate stage должен учитывать route type, distance, vehicle, fuel, driver and route premium.","","Distance matrix, vehicle reference, fuel reference.","","REF-006","Interstate subtotal.","Как route type влияет на linehaul?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Variable mapping"
"TBE-FEE-001","Custom Crate","Crate Cost","surfaceArea x materialPrice x wasteCoefficient + laborHours x laborRate + margin","Crate считается от площади внешних размеров, материала, waste/cuts, labor и margin.","","Item dimensions, material reference, labor reference.","","REF-TBE-005","Packaging/crate subtotal.","Кто дает material price и labor estimate?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Variable mapping"
"TBE-FEE-002","Protection","RV / FVP / DV","RV = included; FVP = declaredValue x rate + fixedFee once per order; DV = future/confirmation","Protection pricing должен использовать declared value, а не item reference price. FVP fixed fee применяется один раз на order.","","Protection plan field, declared value input, protection reference.","","","Protection cost, customer wording.","Какой rate/fixed fee/writing для FVP и DV?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Variable mapping, Reference mapping"
"TBE-FEE-003","Storage","Storage Cost","billableVolume x storageDays x storageRate","Storage остается отдельным cost component и должен сохранять совместимость со старыми estimate snapshots.","","Item storage fields, volume, storage variables.","VAR-TBE-012","","Service fees subtotal, snapshot.","Меняем ли storage в Formula Sprint или только фиксируем?","TO-BE","Approved for Formula Sprint","Test Assumption","STO-001","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"TBE-ACC-001","Access","Floor / Elevator / COI","approved access rule by stage; avoid double-counting with labor time","Access условия могут быть fee или time impact, но не должны дублироваться в labor.","","Floor, elevator, COI, stairs, long carry.","","REF-TBE-005","Pickup/delivery/service subtotal.","Access считать fee, time impact или оба с guardrail?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Variable mapping"
"TBE-MGN-001","Margin","Margin Application","marginAmount = approvedCostBase x marginRate","Margin применяется к утвержденной cost base в утвержденном порядке.","","Stage subtotals, service fees, margin variable.","VAR-TBE-002","","Raw customer price.","Margin до или после broker fee?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"TBE-MGN-002","Discount","Discount Guardrail","discount applies after approved margin/fee step and checks margin floor","Discount должен быть auditable и не должен ломать минимальную прибыльность.","","Discount input, approval reason, margin floor.","","","Final raw price, audit.","Кто может давать discount и какой floor?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Variable mapping"
"TBE-FINAL-001","Final Total","Rounding","finalCustomerPrice = CEILING(rawCustomerPrice, roundingIncrement)","Клиент видит округленную цену без лишних cents; raw price и rounding delta сохраняются внутри.","","Raw customer price, rounding variable.","VAR-001; VAR-TBE-001","","Estimate Document, snapshot.","Округляем до $10 или другое правило?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"TBE-SNAP-001","Snapshot","Immutable Estimate","snapshot = quote + result + trace + formulaVersion + variablesSnapshot + referencesVersion","Estimate должен быть frozen snapshot. Draft может пересчитываться, estimate не должен silently recalc.","","Pricing result, quote payload, variables, references.","","REF-013","My Estimates, Cost Breakdown, audit.","Какие versions храним в snapshot?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Variable mapping"
"TBE-GOV-001","Variable Governance","Editable Variable Rule","editableVariable = hasOwner AND hasApprovalRule AND hasBenchmarkPreview","Переменную можно редактировать в admin только если у нее есть владелец, правило approval и preview влияния на benchmark cases.","","Variable governance reference.","","REF-TBE-010","Admin settings, release control.","Кто owner для commercial variables?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Variable mapping"
"TBE-LAB-003","Labor","Total Pickup Labor Hours","pickupLaborHours = pickupMinutes / 60 x pickupCrew","Переводит расчетное pickup time в человеко-часы: если 2 человека работают 45 минут, это 1.5 человеко-часа.","","Pickup time model, pickup crew.","","REF-TBE-005","Pickup payroll cost, stage labor cost, productivity metrics.","Считаем paid hours по фактическим минутам или с minimum billable time?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"TBE-LAB-004","Labor","Total Delivery Labor Hours","deliveryLaborHours = deliveryMinutes / 60 x deliveryCrew","Переводит delivery time в человеко-часы отдельно от pickup, чтобы видеть реальную трудоемкость delivery stage.","","Delivery time model, delivery crew.","","REF-TBE-005","Delivery payroll cost, stage labor cost, productivity metrics.","Delivery hours должны иметь отдельный minimum от pickup?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"TBE-LAB-005","Labor","Helper Labor Hours","helperHours = helperCount x max(helperMinutes, minHelperMinutes) / 60","Считает человеко-часы дополнительных helpers с учетом минимального оплачиваемого времени.","","Heavy/bulky/access flags, helper count, min helper time.","","REF-TBE-005","Helper payroll, access/labor surcharge.","Какой minimum helper time применять: 2 часа или другое значение?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"TBE-LAB-006","Labor","Billable vs Paid Labor Hours","laborVariance = billableLaborHours - paidLaborHours","Разделяет customer-billable labor и payroll-paid labor, чтобы видеть маржу на labor и не путать цену с выплатами.","","Billable minutes, actual/paid minutes, crew records.","","REF-TBE-005","Labor margin, payroll audit, productivity analysis.","Нужно ли хранить фактические paid hours отдельно от расчетных?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"TBE-LAB-007","Labor","Labor Productivity Rate","productivity = totalEffectiveVolume / totalLaborHours","Показывает, сколько cu ft обрабатывается за человеко-час. Нужно для калибровки pickup/delivery time model.","","Effective volume, labor hours.","","REF-TBE-005","Operations metrics, coefficient calibration.","Какой target productivity считать нормой?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Variable mapping"
"TBE-PAY-001","Payroll","Crew Base Pay","crewBasePay = paidLaborHours x hourlyWage","Считает базовую зарплату crew по фактически оплачиваемым человеко-часам и ставке.","","Paid labor hours, wage reference.","","REF-TBE-005","Payroll cost, fully loaded cost.","Ставки crew единые или зависят от role/branch?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"TBE-PAY-002","Payroll","Crew Overtime Pay","overtimePay = overtimeHours x hourlyWage x overtimeMultiplier","Считает overtime отдельно, чтобы большие/сложные заказы не занижали payroll cost.","","Paid hours, overtime threshold, wage reference.","VAR-TBE-016","","Payroll cost, profitability guardrail.","Нужно ли учитывать overtime в quote pricing или только в actual profitability?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Reference mapping"
"TBE-PAY-003","Payroll","Payroll Burden","payrollBurden = crewGrossPay x payrollBurdenRate","Добавляет payroll taxes/insurance/benefits burden к зарплате, чтобы margin считался по fully loaded labor cost.","","Crew gross pay, payroll burden rate.","VAR-TBE-017","REF-TBE-005","Fully loaded labor cost.","Какой payroll burden rate использовать?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"TBE-PAY-004","Payroll","Total Crew Cost","totalCrewCost = crewBasePay + overtimePay + payrollBurden + helperPay","Собирает полную cost of labor по заказу или stage.","","Crew pay components, helper pay.","","REF-TBE-005","Operational cost base, contribution margin.","Crew cost включается в stage cost полностью или частично?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"TBE-PAY-005","Payroll","Stage Labor Cost Allocation","stageLaborCost = laborHoursByStage x fullyLoadedHourlyRate","Распределяет fully loaded labor cost по pickup/interstate/delivery, чтобы маржинальность была видна по stage.","","Labor hours by stage, fully loaded hourly rate.","","REF-TBE-005","Stage subtotal, stage margin analysis.","Нужно ли interstate crew labor считать отдельно от driver cost?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Variable mapping"
"TBE-BRK-001","Broker Payout","Broker Commission Base","brokerCommissionBase = approvedRevenueBase - excludedFees","Определяет базу, от которой считается выплата broker. Некоторые fees могут исключаться.","","Final price, service fees, excluded fee list.","","","Broker commission.","Комиссия считается от total customer price или только от net revenue?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Variable mapping"
"TBE-BRK-002","Broker Payout","Broker Commission","brokerCommission = brokerCommissionBase x brokerCommissionRate","Считает выплату broker как процент от утвержденной базы.","","Commission base, broker commission rate.","VAR-TBE-002; VAR-TBE-018","","Broker payout, net margin.","Rate единый или зависит от source/channel/broker?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"TBE-BRK-003","Broker Payout","Broker Minimum / Cap","brokerPayout = min(max(calculatedCommission, minPayout), maxPayout)","Ограничивает broker payout минимумом/максимумом, чтобы выплаты были предсказуемы.","","Calculated commission, payout min/max.","","","Broker payout, final profitability.","Нужны ли cap/floor для broker payout?","TO-BE","Approved for Formula Sprint","Ready","","",""
"TBE-BRK-004","Broker Payout","Broker Payout Eligibility","eligiblePayout = IF(orderStatus/paymentStatus qualifies, brokerPayout, 0)","Проверяет, когда broker payout должен начисляться: после estimate, invoice, payment, pickup или delivery.","","Order status, payment status, payout policy.","","","Broker payout accrual.","На каком событии начисляется broker payout?","TO-BE","Approved for Formula Sprint","Ready","","",""
"TBE-DSP-001","Dispatcher Payout","Dispatcher Payout Base","dispatcherPayoutBase = ordersHandled x ratePerOrder OR revenueBase x dispatcherRate","Определяет базу для выплаты dispatcher: per order, процент от revenue или гибрид.","","Orders handled, revenue base, dispatcher plan.","","","Dispatcher payout.","Dispatcher paid per order, per stage, per revenue or KPI?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Variable mapping"
